lga_code,lda_name,2016,2018
23190,Horsham,19874,19921
23270,Hume,224423,233471
23350,Indigo,16489,16701
23430,Kingston,163452,165782
23670,Knox,163212,164538
23810,Latrobe,75209,75561
23940,Loddon,7513,7504
24130,Macedon Ranges,49387,50231
24210,Manningham,125535,127573
24250,Mansfield,8979,9176
24330,Maribyrnong,91413,93448
24410,Maroondah,117505,118558
24600,Melbourne,170317,178955
24650,Melton,156718,164895
24780,Mildura,55516,55777
24850,Mitchell,44298,46082
24900,Moira,29797,29925
24970,Monash,200212,202847
25060,Moonee Valley,127906,130294
25150,Moorabool,34156,35049
25250,Moreland,181780,185767
25340,Mornington Peninsula,165823,167636
25430,Mount Alexander,19514,19754
25490,Moyne,16887,16953
25620,Murrindindi,14478,14570
25710,Nillumbik,64941,65094
25810,Northern Grampians,11430,11402
25900,Port Phillip,113265,115601
25990,Pyrenees,7353,7472
26080,Queenscliffe,2982,2940
26170,South Gippsland,29575,29914
26260,Southern Grampians,16134,16100
26350,Stonnington,116281,117768
26430,Strathbogie,10644,10781
26490,Surf Coast,32252,33456
26610,Swan Hill,20760,20649
26670,Towong,6054,6040
26700,Wangaratta,29086,29187
26730,Warrnambool,34863,35181
26810,Wellington,44017,44380
26890,West Wimmera,3862,3841
26980,Whitehorse,176273,178739
27070,Whittlesea,223347,230238
27170,Wodonga,41429,42083
27260,Wyndham,255367,270487
27350,Yarra,98567,101495
27450,Yarra Ranges,158171,159462
27630,Yarriambiack,6658,6639
29399,Unincorporated Vic,889,881
30250,Aurukun,1381,1418
30300,Balonne,4333,4360
30370,Banana,14287,14156
30410,Barcaldine,2851,2849
30450,Barcoo,267,266
30760,Blackall-Tambo,1863,1868
30900,Boulia,425,423
31000,Brisbane,1230938,1253982
31750,Bulloo,330,325
31820,Bundaberg,95280,95856
31900,Burdekin,17073,16971
31950,Burke,352,354
32080,Cairns,165462,166862
32250,Carpentaria,1974,1977
32260,Cassowary Coast,29679,29794
32270,Central Highlands,28636,28701
32310,Charters Towers,11849,11739
32330,Cherbourg,1315,1331
32450,Cloncurry,3090,3047
32500,Cook,4444,4549
32600,Croydon,288,284
32750,Diamantina,292,291
32770,Doomadgee,1506,1526
32810,Douglas,12252,12367
33100,Etheridge,804,793
33200,Flinders,1498,1505
33220,Fraser Coast,105448,106712
33360,Gladstone,62961,63412
33430,Gold Coast,606528,620518
33610,Goondiwindi,10725,10799
33620,Gympie,51578,52446
33800,Hinchinbrook,10803,10687
33830,Hope Vale,1081,1117
33960,Ipswich,213568,222307
33980,Isaac,20930,20886
34420,Kowanyama,977,990
34530,Livingstone,37629,38078
34570,Lockhart River,782,800
34580,Lockyer Valley,40996,41731
34590,Logan,326494,334358
34710,Longreach,3529,3470
34770,Mackay,116514,116763
34800,McKinlay,814,818
34830,Mapoon,325,333
34860,Maranoa,12788,12665
34880,Mareeba,22511,22730
35010,Moreton Bay,459456,469465
35250,Mornington,1218,1230
35300,Mount Isa,18870,18595
35600,Murweh,4317,4295
35670,Napranum,1047,1077
35740,Noosa,55355,55873
35760,North Burnett,10624,10599
35780,Northern Peninsula Area,3068,3163
35790,Palm Island,2637,2671
35800,Paroo,1586,1562
36070,Pormpuraaw,833,845
36150,Quilpie,790,778
36250,Redland,156825,158815
36300,Richmond,806,810
36370,Rockhampton,81051,81512
36510,Scenic Rim,42576,43123
36580,Somerset,25881,26219
36630,South Burnett,32549,32521
36660,Southern Downs,35593,35452
36720,Sunshine Coast,319837,328428
36820,Tablelands,25535,25575
36910,Toowoomba,167611,169008
36950,Torres,3847,3887
36960,Torres Strait Island,4993,5104
37010,Townsville,194019,195032
37300,Weipa,4239,4333
37310,Western Downs,34459,34585
37340,Whitsunday,35037,35357
37400,Winton,1157,1153
37550,Woorabinda,1005,1016
37570,Wujal Wujal,306,312
37600,Yarrabah,2847,2901
40070,Adelaide,24807,25456
40120,Adelaide Hills,39735,39977
40150,Adelaide Plains,9059,9137
40220,Alexandrina,27039,27427
40250,Anangu Pitjantjatjara,2558,2573
40310,Barossa,24810,25021
40430,Barunga West,2551,2563
40520,Berri and Barmera,10854,10842
40700,Burnside,45714,45816
40910,Campbelltown,51473,52192
41010,Ceduna,3466,3442
41060,Charles Sturt,117388,118943
41140,Clare and Gilbert Valleys,9379,9424
41190,Cleve,1799,1792
41330,Coober Pedy,1845,1834
41560,Copper Coast,14873,15010
41750,Elliston,1019,1008
41830,Flinders Ranges,1693,1692
41960,Franklin Harbour,1315,1304
42030,Gawler,24019,24416
42110,Goyder,4206,4190
42250,Grant,8511,8584
42600,Holdfast Bay,37035,37435
42750,Kangaroo Island,4933,4983
43080,Karoonda East Murray,1112,1107
43220,Kimba,1073,1065
43360,Kingston,2374,2371
43650,Light,15340,15359
43710,Lower Eyre Peninsula,5761,5780
43790,Loxton Waikerie,11728,11743
44000,Maralinga Tjarutja,64,64
